course_id,course_code,course_name,credits,semester,department
CRS_ME801,ME801,Renewable Energy Systems,3,8,Mechanical Eng
CRS_ME802,ME802,Industrial Management,3,8,Mechanical Eng
CRS_ME803,ME803,Major Project Phase II,8,8,Mechanical Eng
CRS_CE101,CE101,Building Materials & Construction,4,1,Civil Eng
CRS_CE102,CE102,Calculus & Linear Algebra,4,1,Civil Eng
CRS_CE103,CE103,Engineering Geology,3,1,Civil Eng
CRS_CE104,CE104,Surveying Fundamentals,3,1,Civil Eng
CRS_CE201,CE201,Structural Analysis I,4,2,Civil Eng
CRS_CE202,CE202,Fluid Mechanics for Civil,4,2,Civil Eng
CRS_CE203,CE203,Advanced Surveying,3,2,Civil Eng
CRS_CE301,CE301,Structural Analysis II,4,3,Civil Eng
CRS_CE302,CE302,Concrete Technology,4,3,Civil Eng
CRS_CE303,CE303,Soil Mechanics,3,3,Civil Eng
CRS_CE401,CE401,Design of RC Structures,4,4,Civil Eng
CRS_CE402,CE402,Hydrology & Water Resources,4,4,Civil Eng
CRS_CE403,CE403,Geotechnical Engineering,3,4,Civil Eng
CRS_CE501,CE501,Design of Steel Structures,4,5,Civil Eng
CRS_CE502,CE502,Transportation Engineering,4,5,Civil Eng
CRS_CE503,CE503,Environmental Engineering I,3,5,Civil Eng
CRS_CE601,CE601,Foundation Engineering,4,6,Civil Eng
CRS_CE602,CE602,Environmental Engineering II,4,6,Civil Eng
CRS_CE603,CE603,Construction Management,3,6,Civil Eng
CRS_CE701,CE701,Earthquake Resistant Design,4,7,Civil Eng
CRS_CE702,CE702,Remote Sensing & GIS,3,7,Civil Eng
CRS_CE703,CE703,Civil Design Project I,4,7,Civil Eng
CRS_CE801,CE801,Urban Planning & Smart Cities,3,8,Civil Eng
CRS_CE802,CE802,Bridge Engineering,3,8,Civil Eng
CRS_CE803,CE803,Major Capstone Project,8,8,Civil Eng
